lat,lon,type,name
55.963599,-3.154049,bus,
55.957387,-3.168728,bus,
55.957366,-3.168087,bus,
55.957119,-3.165709,bus,
55.957333,-3.16304,bus,
55.958792,-3.156901,bus,
55.959322,-3.155075,bus,
55.959508,-3.151509,bus,
55.969984,-3.159302,bus,
55.970094,-3.15711,bus,
55.961745,-3.15244,bus,
55.960632,-3.151366,bus,
55.957341,-3.146815,bus,
55.957156,-3.143542,bus,
55.95663,-3.13925,bus,
55.970275,-3.153158,bus,
55.971026,-3.149736,bus,
55.968946,-3.145316,bus,
55.962347,-3.151481,bus,
55.962502,-3.148362,bus,
55.962636,-3.145594,bus,
55.961277,-3.142943,bus,
55.960036,-3.142106,bus,
55.958322,-3.146636,bus,
55.96021,-3.139804,bus,
55.960251,-3.137306,bus,
55.958312,-3.138034,bus,
55.956823,-3.163698,bus,
55.955982,-3.158579,bus,
55.955145,-3.151075,bus,
55.955203,-3.147745,bus,
55.955222,-3.145744,bus,
55.955473,-3.141923,bus,
55.960497,-3.134991,bus,
55.960939,-3.130903,bus,
55.960382,-3.127876,bus,
55.957705,-3.124899,bus,
55.956206,-3.137412,bus,
55.956513,-3.133353,bus,
55.956864,-3.1304,bus,
55.957401,-3.125707,bus,
55.956655,-3.120752,bus,
55.956479,-3.120426,bus,
55.959266,-3.12323,bus,
55.954852,-3.117449,bus,
55.953498,-3.115263,bus,
55.953081,-3.114611,bus,
55.95219,-3.111783,bus,
55.954591,-3.140103,bus,
55.953152,-3.138283,bus,
55.95042,-3.136394,bus,
55.947928,-3.136721,bus,
55.952047,-3.133399,bus,
55.951488,-3.130644,bus,
55.950022,-3.127943,bus,
55.948022,-3.126491,bus,
55.954151,-3.147858,bus,
55.952375,-3.144603,bus,
55.950133,-3.140277,bus,
55.949244,-3.139178,bus,
55.947421,-3.137106,bus,
55.946273,-3.135968,bus,
55.949019,-3.186859,bus,
55.948527,-3.186588,bus,
55.945796,-3.184727,bus,
55.945386,-3.184362,bus,
55.945917,-3.182409,bus,
55.943248,-3.17959,bus,
55.941556,-3.178049,bus,
55.940716,-3.176599,bus,
55.943072,-3.182963,bus,
55.942645,-3.18255,bus,
55.941372,-3.18123,bus,
55.937549,-3.180745,bus,
55.940525,-3.180532,bus,
55.939324,-3.178398,bus,
55.934956,-3.193377,bus,
55.936465,-3.18417,bus,
55.935537,-3.190049,bus,
55.935977,-3.187245,bus,
55.936926,-3.181111,bus,
55.938788,-3.179038,bus,
55.936926,-3.177349,bus,
55.934888,-3.175238,bus,
55.932628,-3.172912,bus,
55.930688,-3.170965,bus,
55.927947,-3.168146,bus,
55.9347,-3.178898,bus,
55.932845,-3.177449,bus,
55.929112,-3.175047,bus,
55.927585,-3.182555,bus,
55.928446,-3.179892,bus,
55.929187,-3.177578,bus,
55.927387,-3.174162,bus,
55.924922,-3.172584,bus,
55.926194,-3.184209,bus,
55.924689,-3.179058,bus,
55.924491,-3.173451,bus,
55.925746,-3.168063,bus,
55.938333,-3.173053,bus,
55.936855,-3.170623,bus,
55.934466,-3.167621,bus,
55.932585,-3.165132,bus,
55.929741,-3.161877,bus,
55.926985,-3.166324,bus,
55.928376,-3.163597,bus,
55.930254,-3.158868,bus,
55.931655,-3.156124,bus,
55.933541,-3.164728,bus,
55.933665,-3.161114,bus,
55.933005,-3.157781,bus,
55.932443,-3.154483,bus,
55.932396,-3.150832,bus,
55.932083,-3.144884,bus,
55.932493,-3.142335,bus,
55.933514,-3.141757,bus,
55.937176,-3.144122,bus,
55.942208,-3.145103,bus,
55.943605,-3.14175,bus,
55.944752,-3.137188,bus,
55.925832,-3.166594,bus,
55.921513,-3.167216,bus,
55.918611,-3.167241,bus,
55.915724,-3.166562,bus,
55.914268,-3.164694,bus,
55.913093,-3.163539,bus,
55.917961,-3.164677,bus,
55.915049,-3.161902,bus,
55.91378,-3.160248,bus,
55.911731,-3.163082,bus,
55.90889,-3.163237,bus,
55.907095,-3.163967,bus,
55.904193,-3.165848,bus,
55.900996,-3.163721,bus,
55.899778,-3.162357,bus,
55.898145,-3.16114,bus,
55.896168,-3.161177,bus,
55.893767,-3.161361,bus,
55.901189,-3.159536,bus,
55.902115,-3.155661,bus,
55.902722,-3.153184,bus,
55.903542,-3.150073,bus,
55.911776,-3.15838,bus,
55.910118,-3.156939,bus,
55.908346,-3.155175,bus,
55.907264,-3.153735,bus,
55.905448,-3.150898,bus,
55.904298,-3.148944,bus,
55.900342,-3.144365,bus,
55.898146,-3.141821,bus,
55.89567,-3.137559,bus,
55.924049,-3.16606,bus,
55.923283,-3.164453,bus,
55.921117,-3.160611,bus,
55.918855,-3.155663,bus,
55.917664,-3.15326,bus,
55.914838,-3.14892,bus,
55.913436,-3.146063,bus,
55.914649,-3.145106,bus,
55.916297,-3.143747,bus,
55.91881,-3.139245,bus,
55.913007,-3.145826,bus,
55.911657,-3.142267,bus,
55.91054,-3.140538,bus,
55.90875,-3.136886,bus,
55.906371,-3.133777,bus,
55.904277,-3.147344,bus,
55.904432,-3.145221,bus,
55.90385,-3.141141,bus,
55.903733,-3.138211,bus,
55.904634,-3.136014,bus,
55.905045,-3.131355,bus,
55.904175,-3.127299,bus,
55.902934,-3.123504,bus,
55.900017,-3.113248,bus,
55.906644,-3.132362,bus,
55.908134,-3.129622,bus,
